Vertex: (0.4268398, 1.455263): inDegree: 1, outDegree: 2.
Vertex: (-0.05003588, -1.152745): inDegree: 2, outDegree: 2.
Vertex: (-0.2432093, -0.1521501): inDegree: 1, outDegree: 2.
Vertex: (-1.912753, 0.1073209): inDegree: 1, outDegree: 2.
Vertex: (-0.706553, -3.214142): inDegree: 1, outDegree: 2.
Vertex: (0.8414274, -1.615065): inDegree: 4, outDegree: 2.
Vertex: (0.6719239, 0.2774378): inDegree: 2, outDegree: 2.
Vertex: (0.1411034, -2.550039): inDegree: 0, outDegree: 2.
Vertex: (-1.399073, -1.46927): inDegree: 1, outDegree: 2.
Vertex: (-0.09918609, -0.299643): inDegree: 1, outDegree: 2.
Vertex: (0.2538683, -0.7751508): inDegree: 2, outDegree: 2.
Vertex: (0.1438228, 0.7719849): inDegree: 0, outDegree: 2.
Vertex: (-0.07131543, -0.5344655): inDegree: 1, outDegree: 2.
Vertex: (-1.41568, 0.137293): inDegree: 3, outDegree: 2.
Vertex: (0.1954182, -0.544478): inDegree: 1, outDegree: 2.
Vertex: (-0.4232856, -0.3057951): inDegree: 3, outDegree: 2.
Vertex: (0.7704912, 1.377093): inDegree: 3, outDegree: 2.
Vertex: (2.045299, 0.3393328): inDegree: 3, outDegree: 2.
Vertex: (-0.6912209, 2.668526): inDegree: 1, outDegree: 2.
Vertex: (1.450109, 1.700731): inDegree: 2, outDegree: 2.
Vertex: (-0.1589493, -0.6453321): inDegree: 2, outDegree: 2.
Vertex: (0.7755455, 1.371682): inDegree: 3, outDegree: 2.
Vertex: (-0.4898692, 0.5687472): inDegree: 1, outDegree: 2.
Vertex: (-1.456997, -0.6116113): inDegree: 1, outDegree: 2.
Vertex: (-0.1548985, 0.3290806): inDegree: 2, outDegree: 2.
Vertex: (0.8954648, -0.2377753): inDegree: 1, outDegree: 2.
Vertex: (-0.8243837, 1.405135): inDegree: 4, outDegree: 2.
Vertex: (0.09642173, -1.998456): inDegree: 2, outDegree: 2.
Vertex: (0.652238, 0.7167501): inDegree: 2, outDegree: 2.
Vertex: (-0.5685023, -0.5619594): inDegree: 2, outDegree: 2.
Vertex: (-0.7495223, -0.04816525): inDegree: 1, outDegree: 2.
Vertex: (-0.1009582, -1.17776): inDegree: 1, outDegree: 2.
Vertex: (-0.423029, 0.1329242): inDegree: 0, outDegree: 2.
Vertex: (-0.5270028, 0.7465359): inDegree: 2, outDegree: 2.
Vertex: (1.825663, 0.009223205): inDegree: 0, outDegree: 2.
Vertex: (0.02786473, 0.4181463): inDegree: 2, outDegree: 2.
Vertex: (-0.4512833, 1.122221): inDegree: 1, outDegree: 2.
Vertex: (0.63865, 0.21448): inDegree: 2, outDegree: 2.
Vertex: (-0.1475466, 0.2975398): inDegree: 2, outDegree: 2.
Vertex: (-0.2375288, 1.419309): inDegree: 1, outDegree: 2.
Vertex: (0.3744949, -0.5197328): inDegree: 2, outDegree: 2.
Vertex: (0.1516392, 1.732537): inDegree: 0, outDegree: 2.
Vertex: (-0.5661778, -0.05116398): inDegree: 2, outDegree: 2.
Vertex: (-0.06722105, 0.05353138): inDegree: 2, outDegree: 2.
Vertex: (0.2024936, 0.7030176): inDegree: 4, outDegree: 2.
Vertex: (0.8989104, -0.7895424): inDegree: 1, outDegree: 2.
Vertex: (0.659966, -1.751587): inDegree: 1, outDegree: 2.
Vertex: (-0.03969733, 0.8561498): inDegree: 2, outDegree: 2.
Vertex: (0.1301428, -1.397284): inDegree: 2, outDegree: 2.
Vertex: (-1.664337, -1.644736): inDegree: 2, outDegree: 2.
Vertex: (0.8170675, -0.622863): inDegree: 1, outDegree: 2.
Vertex: (-1.667311, 0.6520793): inDegree: 1, outDegree: 2.
Vertex: (-1.338899, -2.616441): inDegree: 1, outDegree: 2.
Vertex: (0.702909, 1.43305): inDegree: 2, outDegree: 2.
Vertex: (0.7704275, 2.294063): inDegree: 3, outDegree: 2.
Vertex: (2.449584, 0.03908291): inDegree: 2, outDegree: 2.
Vertex: (0.05922565, -0.5873418): inDegree: 1, outDegree: 2.
Vertex: (-0.7851964, 0.4071474): inDegree: 2, outDegree: 2.
Vertex: (1.548645, -0.5104704): inDegree: 1, outDegree: 2.
Vertex: (-0.009394046, 0.8507596): inDegree: 4, outDegree: 2.
Vertex: (0.08954458, 0.6656822): inDegree: 1, outDegree: 2.
Vertex: (1.837629, 0.4764719): inDegree: 2, outDegree: 2.
Vertex: (0.4813341, 0.1608431): inDegree: 1, outDegree: 2.
Vertex: (0.05597879, -0.02176826): inDegree: 2, outDegree: 2.
Vertex: (0.681871, -0.4356729): inDegree: 1, outDegree: 2.
Vertex: (-0.4273481, 0.41265): inDegree: 1, outDegree: 2.
Vertex: (-0.5969202, 0.2305375): inDegree: 3, outDegree: 2.
Vertex: (-0.4873237, 0.4334609): inDegree: 3, outDegree: 2.
Vertex: (0.6600898, -1.727609): inDegree: 1, outDegree: 2.
Vertex: (-1.218562, -1.555719): inDegree: 2, outDegree: 2.
Vertex: (-0.4277468, -1.964771): inDegree: 1, outDegree: 2.
Vertex: (-2.148202, -0.4772286): inDegree: 2, outDegree: 2.
Vertex: (-1.444319, 1.339903): inDegree: 1, outDegree: 2.
Vertex: (1.537721, -0.2747408): inDegree: 3, outDegree: 2.
Vertex: (0.8638317, 1.046798): inDegree: 2, outDegree: 2.
Vertex: (-1.043402, -1.600834): inDegree: 3, outDegree: 2.
Vertex: (-0.370237, -1.003952): inDegree: 2, outDegree: 2.
Vertex: (-0.8930663, 1.622089): inDegree: 5, outDegree: 2.
Vertex: (0.03909821, 0.8648603): inDegree: 2, outDegree: 2.
Vertex: (0.7866732, -0.7477995): inDegree: 3, outDegree: 2.
Vertex: (1.39648, -1.055821): inDegree: 3, outDegree: 2.
Vertex: (-0.002107942, -0.4941989): inDegree: 4, outDegree: 2.
Vertex: (1.011732, 0.6973612): inDegree: 4, outDegree: 2.
Vertex: (-0.2530077, 0.2234902): inDegree: 2, outDegree: 2.
Vertex: (-0.9911614, 0.8521672): inDegree: 3, outDegree: 2.
Vertex: (0.9447613, -1.078982): inDegree: 0, outDegree: 2.
Vertex: (-0.2995551, -0.5500836): inDegree: 1, outDegree: 2.
Vertex: (1.244201, -2.411101): inDegree: 2, outDegree: 2.
Vertex: (0.7112505, -1.001738): inDegree: 2, outDegree: 2.
Vertex: (-0.565274, -0.06368864): inDegree: 3, outDegree: 2.
Vertex: (-0.7012812, 1.329372): inDegree: 3, outDegree: 2.
Vertex: (-0.1232268, 0.577308): inDegree: 1, outDegree: 2.
Vertex: (-0.474192, 0.8277841): inDegree: 1, outDegree: 2.
Vertex: (-0.3175085, -0.4805097): inDegree: 4, outDegree: 2.
Vertex: (1.083883, 0.3567006): inDegree: 0, outDegree: 2.
Vertex: (1.090681, 0.1085546): inDegree: 2, outDegree: 2.
Vertex: (-0.2919299, -0.2900904): inDegree: 3, outDegree: 2.
Vertex: (1.527769, -0.7542361): inDegree: 2, outDegree: 2.
Vertex: (-0.005557012, -0.8470141): inDegree: 1, outDegree: 2.
Vertex: (-0.05271379, -0.5404156): inDegree: 2, outDegree: 2.
Vertex: (-2.073313, -0.0651284): inDegree: 3, outDegree: 2.
Vertex: (-1.20558, -0.5228872): inDegree: 2, outDegree: 2.
Vertex: (-2.160577, -0.4443172): inDegree: 4, outDegree: 2.
Vertex: (-2.27873, -0.4692116): inDegree: 2, outDegree: 2.
Vertex: (-0.8981322, -1.671778): inDegree: 1, outDegree: 2.
Vertex: (0.5107603, -0.02464771): inDegree: 2, outDegree: 2.
Vertex: (-0.6741453, -0.3209619): inDegree: 1, outDegree: 2.
Vertex: (-0.3948186, -0.3629985): inDegree: 3, outDegree: 2.
Vertex: (1.48657, -0.01119533): inDegree: 2, outDegree: 2.
Vertex: (-0.1886993, 1.790361): inDegree: 4, outDegree: 2.
Vertex: (-1.963063, -0.852544): inDegree: 3, outDegree: 2.
Vertex: (1.221569, 0.03297264): inDegree: 3, outDegree: 2.
Vertex: (-0.6991467, 0.1768099): inDegree: 1, outDegree: 2.
Vertex: (0.06157785, 0.6968434): inDegree: 1, outDegree: 2.
Vertex: (0.7264976, -1.397027): inDegree: 3, outDegree: 2.
Vertex: (-0.6799846, 0.4164212): inDegree: 1, outDegree: 2.
Vertex: (1.291456, 0.6999309): inDegree: 2, outDegree: 2.
Vertex: (-0.7944583, -0.8550205): inDegree: 2, outDegree: 2.
Vertex: (0.1884938, 0.5898823): inDegree: 1, outDegree: 2.
Vertex: (1.732785, -1.494677): inDegree: 0, outDegree: 2.
Vertex: (0.7857077, -0.5040029): inDegree: 3, outDegree: 2.
Vertex: (-1.506788, -1.441835): inDegree: 3, outDegree: 2.
Vertex: (0.3643196, -0.4762253): inDegree: 4, outDegree: 2.
Vertex: (-0.278308, -0.8021395): inDegree: 0, outDegree: 2.
Vertex: (1.278706, -1.011765): inDegree: 1, outDegree: 2.
Vertex: (1.469515, -1.02418): inDegree: 4, outDegree: 2.
Vertex: (1.006171, -0.2373324): inDegree: 2, outDegree: 2.
Vertex: (1.480261, -0.2914191): inDegree: 2, outDegree: 2.
Vertex: (-0.04035375, 0.7533952): inDegree: 1, outDegree: 2.
Vertex: (1.583306, 0.1995878): inDegree: 3, outDegree: 2.
Vertex: (1.037692, 1.379998): inDegree: 3, outDegree: 2.
Vertex: (0.9744539, 0.7938792): inDegree: 2, outDegree: 2.
Vertex: (-1.061096, -1.277448): inDegree: 3, outDegree: 2.
Vertex: (0.02629088, -0.3476835): inDegree: 3, outDegree: 2.
Vertex: (-0.956999, 0.8507182): inDegree: 3, outDegree: 2.
Vertex: (1.688745, -0.7700008): inDegree: 2, outDegree: 2.
Vertex: (-0.5329375, 1.267127): inDegree: 3, outDegree: 2.
Vertex: (-1.024934, 1.430576): inDegree: 2, outDegree: 2.
Vertex: (-0.2898963, 0.2711711): inDegree: 2, outDegree: 2.
Vertex: (-0.8064615, 1.880377): inDegree: 0, outDegree: 2.
Vertex: (2.217777, -0.4646687): inDegree: 1, outDegree: 2.
Vertex: (0.9168803, 0.9645711): inDegree: 2, outDegree: 2.
Vertex: (-0.8442855, 1.530998): inDegree: 3, outDegree: 2.
Vertex: (-0.3098101, -0.3100219): inDegree: 1, outDegree: 2.
Vertex: (0.826736, -0.7278963): inDegree: 4, outDegree: 2.
Vertex: (0.703034, -2.462899): inDegree: 3, outDegree: 2.
Vertex: (-0.6390789, -0.2076529): inDegree: 2, outDegree: 2.
Vertex: (0.2110312, 0.6642837): inDegree: 3, outDegree: 2.
Vertex: (1.213486, 0.7986165): inDegree: 1, outDegree: 2.
Vertex: (-0.3142182, -0.6616431): inDegree: 1, outDegree: 2.
Vertex: (-1.5114, -0.8905239): inDegree: 0, outDegree: 2.
Vertex: (-0.861655, 0.3122751): inDegree: 2, outDegree: 2.
Vertex: (0.2845362, -1.521896): inDegree: 2, outDegree: 2.
Vertex: (0.3921027, -0.6944373): inDegree: 0, outDegree: 2.
Vertex: (0.2963447, -0.9747297): inDegree: 1, outDegree: 2.
Vertex: (-0.1975267, 0.2618449): inDegree: 3, outDegree: 2.
Vertex: (0.4401042, 0.241742): inDegree: 1, outDegree: 2.
Vertex: (0.3132001, -0.8216614): inDegree: 4, outDegree: 2.
Vertex: (1.14054, 1.558193): inDegree: 1, outDegree: 2.
Vertex: (-0.1276993, 0.4062001): inDegree: 3, outDegree: 2.
Vertex: (0.07024162, -2.239378): inDegree: 4, outDegree: 2.
Vertex: (0.003566448, -1.467357): inDegree: 3, outDegree: 2.
Vertex: (0.3599877, 0.4703352): inDegree: 2, outDegree: 2.
Vertex: (0.5103464, -0.5177032): inDegree: 1, outDegree: 2.
Vertex: (0.6526226, -0.8103363): inDegree: 3, outDegree: 2.
Vertex: (-3.190824, -0.8550614): inDegree: 0, outDegree: 2.
Vertex: (-0.6296931, -0.4696793): inDegree: 2, outDegree: 2.
Vertex: (1.229365, 1.310544): inDegree: 4, outDegree: 2.
Vertex: (1.362637, -2.285306): inDegree: 1, outDegree: 2.
Vertex: (-0.3005576, -0.4344786): inDegree: 2, outDegree: 2.
Vertex: (-0.06192761, -0.1327482): inDegree: 1, outDegree: 2.
Vertex: (1.703166, -1.209334): inDegree: 3, outDegree: 2.
Vertex: (0.7049793, 0.4462241): inDegree: 1, outDegree: 2.
Vertex: (-1.442717, -0.3853482): inDegree: 3, outDegree: 2.
Vertex: (0.3026779, 1.125529): inDegree: 1, outDegree: 2.
Vertex: (0.5996681, -0.5598924): inDegree: 2, outDegree: 2.
Vertex: (0.2122605, 0.4850962): inDegree: 1, outDegree: 2.
Vertex: (0.4717682, -0.4723195): inDegree: 1, outDegree: 2.
Vertex: (1.740348, -1.009745): inDegree: 3, outDegree: 2.
Vertex: (0.09212496, -0.241289): inDegree: 2, outDegree: 2.
Vertex: (0.3070908, 0.559201): inDegree: 3, outDegree: 2.
Vertex: (1.164652, -0.502721): inDegree: 2, outDegree: 2.
Vertex: (0.03020935, -0.9501517): inDegree: 3, outDegree: 2.
Vertex: (0.4484951, 0.07445733): inDegree: 3, outDegree: 2.
Vertex: (0.4045276, -0.3778922): inDegree: 1, outDegree: 2.
Vertex: (-1.032703, 0.07955971): inDegree: 4, outDegree: 2.
Vertex: (1.440409, -0.3202026): inDegree: 4, outDegree: 2.
Vertex: (-0.8049425, -0.8025764): inDegree: 1, outDegree: 2.
Vertex: (-0.2829352, 1.819441): inDegree: 3, outDegree: 2.
Vertex: (-0.5331174, 0.2963804): inDegree: 4, outDegree: 2.
Vertex: (-0.9132108, 0.6989439): inDegree: 1, outDegree: 2.
Vertex: (-0.506328, 0.2033758): inDegree: 1, outDegree: 2.
Vertex: (-0.4104393, -2.011202): inDegree: 1, outDegree: 2.
Vertex: (0.537879, -0.6242136): inDegree: 2, outDegree: 2.
Vertex: (-0.7812697, 1.10853): inDegree: 3, outDegree: 2.
Vertex: (-1.03126, 0.2148818): inDegree: 0, outDegree: 2.
Vertex: (-0.373509, -0.5885021): inDegree: 3, outDegree: 2.
Vertex: (0.09349084, -1.638066): inDegree: 2, outDegree: 2.
Vertex: (0.7322928, -1.270247): inDegree: 2, outDegree: 2.
Vertex: (2.258684, -1.200324): inDegree: 1, outDegree: 2.
Vertex: (0.6698836, -0.7085515): inDegree: 1, outDegree: 2.
Vertex: (-0.1997018, 0.5976533): inDegree: 1, outDegree: 2.
Vertex: (-1.29616, 0.0824385): inDegree: 1, outDegree: 2.
Vertex: (-0.7973685, -0.1287823): inDegree: 2, outDegree: 2.
